YEAR,ZIP CODE,avg_income
2007,73301,4021.134593993326
2007,73949,44534.88372093023
2007,75001,97230.0785634119
2007,75002,75077.69320184484
2007,75006,48000.18220744318
2007,75007,63854.19943378421
2007,75009,74873.063170441
2007,75010,67440.31888172982
2007,75011,53472.32824427481
2007,75013,113253.27247674818
2007,75014,87565.65656565657
2007,75015,69752.57731958762
2007,75016,39997.118155619595
2007,75017,32754.32525951557
2007,75019,120246.04953797364
2007,75020,37341.57679434734
2007,75021,36696.68571428571
2007,75022,154018.28254847645
2007,75023,66382.02097994954
2007,75024,118764.48462452157
2007,75025,94328.83506859108
2007,75026,154857.72357723577
2007,75027,102394.32176656151
2007,75028,95873.40024427805
2007,75029,50105.65476190476
2007,75030,59994.392523364484
2007,75032,97698.54264123786
2007,75034,133107.39928954726
2007,75035,84836.85899178857
2007,75038,74602.26065847368
2007,75039,81464.20991703647
2007,75040,37741.29651860744
2007,75041,33837.95881826321
2007,75042,31528.69695270144
2007,75043,43939.79469503971
2007,75044,58426.595201633485
2007,75045,46235.148514851484
2007,75046,38750.52854122622
2007,75047,58934.343434343435
2007,75048,64546.50102575792
2007,75049,43081.41962421712
2007,75050,37731.93182493022
2007,75051,27887.227797119256
2007,75052,46712.60315679833
2007,75053,40842.7807486631
2007,75054,76069.97371879107
2007,75056,68156.51492135052
2007,75057,37222.89935364728
2007,75058,62143.896523848016
2007,75060,34277.045121519885
2007,75061,34103.54569854499
2007,75062,51703.718010622884
2007,75063,82578.85370643102
2007,75065,55397.70438985099
2007,75067,43530.14957650027
2007,75068,56959.10836659387
2007,75069,71849.22144719228
2007,75070,89835.18579414666
2007,75071,69349.91924940399
2007,75074,48935.77542665745
2007,75075,65128.81901018403
2007,75076,59113.0458076614
2007,75077,91723.76745851737
2007,75078,120234.52768729642
2007,75080,67194.59513263326
2007,75081,53806.656580937975
2007,75082,106784.43366378402
2007,75083,61969.78021978022
2007,75085,52201.18343195266
2007,75086,57139.47990543735
2007,75087,76827.28013029316
2007,75088,61635.75314518871
2007,75089,61758.57978807528
2007,75090,32849.647532729105
2007,75091,57075.22935779816
2007,75092,50627.550512590824
2007,75093,174471.39909565827
2007,75094,99910.53652230123
2007,75097,54746.83544303798
2007,75098,56146.42170260148
2007,75101,26523.943661971833
2007,75102,35932.601880877744
2007,75103,40602.726227623585
2007,75104,52665.73305494729
2007,75105,37810.126582278484
2007,75106,48369.640787949014
2007,75109,48226.20519159456
2007,75110,33888.086062941555
2007,75114,50537.66233766234
2007,75115,47071.14051384295
2007,75116,38504.31595128296
2007,75117,36894.40337909187
2007,75118,30851.612903225807
2007,75119,40770.80551846907
2007,75120,41070.100143061514
2007,75121,35176.10062893082
2007,75123,48174.82517482517
2007,75124,33919.7680038666
2007,75125,33142.71082280642
2007,75126,60670.1108680896
2007,75127,29307.387862796833
2007,75132,47720.52401746725
2007,75134,31237.78307508939
