"date","region","avg_value","zipcode","city"
"2016-07-31","77056",1860,77056,"Houston"
"2016-08-31","77056",1865,77056,"Houston"
"2016-09-30","77056",1859,77056,"Houston"
"2016-10-31","77056",1854,77056,"Houston"
"2016-11-30","77056",1853,77056,"Houston"
"2016-12-31","77056",1812,77056,"Houston"
"2017-01-31","77056",1788,77056,"Houston"
"2017-02-28","77056",1781,77056,"Houston"
"2017-03-31","77056",1776,77056,"Houston"
"2017-04-30","77056",1762,77056,"Houston"
"2017-05-31","77056",1737,77056,"Houston"
"2017-06-30","77056",1728,77056,"Houston"
"2017-07-31","77056",1726,77056,"Houston"
"2017-08-31","77056",1719,77056,"Houston"
"2017-09-30","77056",1746,77056,"Houston"
"2017-10-31","77056",1794,77056,"Houston"
"2017-11-30","77056",1863,77056,"Houston"
"2017-12-31","77056",1856,77056,"Houston"
"2018-01-31","77056",1834,77056,"Houston"
"2018-02-28","77056",1836,77056,"Houston"
"2018-03-31","77056",1824,77056,"Houston"
"2018-04-30","77056",1823,77056,"Houston"
