YEAR,ZIP CODE,NO. OF RETURNS,AGI
2009,79996,0,0
2009,79997,0,0
2010,73301,0,0
2010,73949,0,0
2010,75001,8154,578688
2010,75002,27471,2064673
2010,75006,22427,1006180
2010,75007,24705,1611396
2010,75009,3511,249435
2010,75010,10493,741611
2010,75011,0,0
2010,75013,13559,1577303
2010,75014,0,0
2010,75015,0,0
2010,75016,0,0
2010,75017,0,0
2010,75019,18251,2107900
2010,75020,9284,395762
2010,75021,3756,156164
2010,75022,9064,1329896
2010,75023,22434,1434591
2010,75024,17452,2495974
2010,75025,22655,2056831
2010,75026,0,0
2010,75027,0,0
2010,75028,18397,1688738
2010,75029,0,0
2010,75030,0,0
2010,75032,12071,1191913
2010,75034,30318,3646116
2010,75035,20795,1709381
2010,75038,13846,805761
2010,75039,6715,616182
2010,75040,25978,1012508
2010,75041,12134,414416
2010,75042,15658,498113
2010,75043,26207,1169304
2010,75044,19390,1117457
2010,75045,0,0
2010,75046,0,0
2010,75047,0,0
2010,75048,9188,620425
2010,75049,0,0
2010,75050,17571,733775
2010,75051,14757,467728
2010,75052,37966,1832057
2010,75053,0,0
2010,75054,3704,314439
2010,75056,22946,1610772
2010,75057,5643,205026
2010,75058,1204,78306
2010,75060,19525,702636
2010,75061,22105,751711
2010,75062,20806,976257
2010,75063,17173,1378274
2010,75065,4946,290026
2010,75067,29041,1284937
2010,75068,15660,946524
2010,75069,14685,941382
2010,75070,33777,2989151
2010,75071,15400,1110178
2010,75074,19391,973113
2010,75075,16192,1031531
2010,75076,3447,217002
2010,75077,16493,1450595
2010,75078,4791,567789
2010,75080,19637,1338037
2010,75081,16837,890848
2010,75082,9595,945855
2010,75083,0,0
2010,75085,0,0
2010,75086,0,0
2010,75087,13078,1027375
2010,75088,11344,739179
2010,75089,12925,808728
2010,75090,9103,327655
2010,75091,0,0
2010,75092,9629,495827
2010,75093,22702,3260190
2010,75094,8210,812644
2010,75097,0,0
2010,75098,20708,1255557
2010,75101,0,0
2010,75102,578,23293
2010,75103,5390,251257
2010,75104,20042,1064578
2010,75105,133,6569
2010,75106,0,0
2010,75109,1589,90997
2010,75110,11330,437342
2010,75114,2151,112521
2010,75115,22453,1088307
2010,75116,8397,328093
2010,75117,1566,70264
2010,75118,0,0
2010,75119,10305,434756
2010,75120,0,0
2010,75121,0,0
2010,75123,0,0
2010,75124,1757,71197
2010,75125,2790,101974
2010,75126,14523,915599
2010,75127,642,22404
2010,75132,0,0
2010,75134,8256,276468
2010,75135,2451,130738
2010,75137,8692,439702
2010,75138,0,0
2010,75140,2678,109928
2010,75141,1396,43615
2010,75142,7794,361935
2010,75143,5557,223536
2010,75144,1273,55865
2010,75146,8714,338348
2010,75147,2973,122924
2010,75148,2271,87122
2010,75149,23387,876201
2010,75150,25861,970206
2010,75151,0,0
2010,75152,1928,93272
2010,75153,281,9229
2010,75154,15999,824605
2010,75155,931,32725
2010,75156,5404,234774
2010,75157,0,0
2010,75158,1859,93454
2010,75159,6610,262204
2010,75160,10184,464784
2010,75161,2478,110225
2010,75163,1000,46992
2010,75164,0,0
2010,75165,15710,775495
2010,75166,1464,100072
2010,75167,3221,198712
2010,75168,0,0
2010,75169,5890,240396
2010,75172,1474,41627
2010,75173,1693,89805
2010,75180,8900,261414
2010,75181,10718,560329
2010,75182,2318,247861
2010,75185,0,0
2010,75187,0,0
2010,75189,8973,485865
2010,75201,6741,1298956
2010,75202,1536,129487
2010,75203,5805,153828
2010,75204,14745,1176490
2010,75205,9818,3219005
2010,75206,19271,1258905
2010,75207,1115,71299
2010,75208,13614,612255
2010,75209,7490,1325059
2010,75210,2760,53511
2010,75211,27606,773392
2010,75212,9536,229617
2010,75214,16731,1740847
2010,75215,6523,164760
2010,75216,20617,468107
2010,75217,30884,774720
2010,75218,11426,894244
2010,75219,13996,1522662
2010,75220,15580,1322513
2010,75221,0,0
2010,75222,0,0
2010,75223,6028,206475
2010,75224,13399,380852
2010,75225,10817,3913920
2010,75226,1866,181538
2010,75227,22669,648899
2010,75228,27371,900041
2010,75229,15534,1796663
2010,75230,13583,2992668
2010,75231,15189,795749
2010,75232,13211,425029
2010,75233,5552,184311
2010,75234,14045,690048
2010,75235,7562,258555
2010,75236,6422,199302
2010,75237,7081,173773
2010,75238,12967,881837
2010,75240,11033,762730
2010,75241,13003,334244
2010,75242,0,0
2010,75243,27798,1120933
2010,75244,6612,581045
2010,75246,1145,48228
2010,75247,481,26021
2010,75248,17901,1829862
2010,75249,6327,264918
2010,75250,0,0
2010,75251,1585,158763
2010,75252,12725,1023302
2010,75253,6237,172010
2010,75254,11848,833631
2010,75261,0,0
2010,75265,0,0
2010,75266,0,0
2010,75270,0,0
2010,75275,0,0
2010,75283,0,0
2010,75287,27675,1581406
2010,75313,0,0
2010,75315,0,0
2010,75323,0,0
2010,75336,0,0
2010,75339,0,0
2010,75342,0,0
2010,75354,0,0
2010,75355,0,0
2010,75356,0,0
2010,75357,0,0
2010,75359,0,0
2010,75360,0,0
2010,75367,0,0
2010,75370,0,0
2010,75371,0,0
2010,75372,0,0
2010,75374,0,0
2010,75376,0,0
2010,75378,0,0
2010,75379,0,0
2010,75380,0,0
2010,75381,0,0
2010,75382,0,0
2010,75390,0,0
2010,75401,7045,219790
2010,75402,6977,404845
2010,75403,0,0
2010,75404,0,0
2010,75407,5968,260214
2010,75409,4747,247606
2010,75410,1676,73990
2010,75411,419,15388
2010,75412,279,9044
2010,75413,0,0
2010,75414,1283,62043
2010,75415,0,0
2010,75416,1223,48032
2010,75417,986,44397
2010,75418,4700,191357
2010,75420,441,17372
2010,75421,430,16637
2010,75422,1143,54728
2010,75423,1060,53704
2010,75424,1377,66024
2010,75425,0,0
2010,75426,2215,72532
2010,75428,3242,116946
2010,75429,0,0
2010,75431,801,26641
2010,75432,1348,52179
2010,75433,1086,44905
2010,75434,0,0
2010,75435,397,14242
2010,75436,814,40828
2010,75437,464,21096
2010,75438,434,20569
2010,75439,385,14968
2010,75440,2562,116194
2010,75441,0,0
2010,75442,3499,175661
2010,75443,0,0
2010,75444,0,0
2010,75446,1249,49295
2010,75447,437,20447
2010,75448,281,10662
2010,75449,394,14077
2010,75450,108,4591
2010,75451,529,25397
2010,75452,1662,81238
2010,75453,1290,54825
2010,75454,2561,189638
2010,75455,10227,448655
2010,75456,0,0
2010,75457,2660,139165
2010,75458,0,0
2010,75459,1771,88713
2010,75460,9109,304791
2010,75461,0,0
2010,75462,4643,271561
2010,75468,391,19175
2010,75469,159,5778
2010,75470,0,0
2010,75471,548,19754
2010,75472,1386,59459
2010,75473,1518,96386
2010,75474,5835,232175
2010,75475,0,0
2010,75476,524,22639
2010,75477,419,17748
2010,75478,354,12563
2010,75479,693,30178
2010,75480,627,33077
2010,75481,152,5852
2010,75482,9484,405166
2010,75483,0,0
2010,75485,0,0
2010,75486,923,42087
2010,75487,578,21309
2010,75488,407,17506
2010,75489,0,0
2010,75490,993,50308
2010,75491,1922,90089
2010,75492,230,10076
2010,75493,0,0
2010,75494,4144,175191
2010,75495,3065,190580
2010,75496,1248,49491
2010,75497,1410,78986
2010,75501,14292,510869
2010,75503,10743,790235
2010,75504,0,0
2010,75505,0,0
2010,75550,349,11504
2010,75551,4572,205482
2010,75554,787,35822
2010,75555,579,25835
2010,75556,499,21314
2010,75558,603,28727
2010,75559,2459,103118
2010,75560,439,17844
2010,75561,2367,102538
2010,75562,0,0
2010,75563,1736,72158
2010,75564,0,0
2010,75565,0,0
2010,75566,282,8778
2010,75567,1472,63542
2010,75568,1202,45452
2010,75569,1514,59550
2010,75570,3929,174765
2010,75571,1147,47553
2010,75572,1539,61423
2010,75573,0,0
2010,75574,725,31561
2010,75601,6275,315498
2010,75602,8786,291758
2010,75603,2442,147849
2010,75604,12589,619631
2010,75605,12533,846992
2010,75606,0,0
2010,75607,0,0
2010,75608,0,0
2010,75615,0,0
2010,75630,1004,42838
2010,75631,1116,60485
2010,75633,6241,341633
2010,75636,0,0
2010,75637,0,0
2010,75638,2352,108349
2010,75639,1205,57595
2010,75640,1904,92750
2010,75641,0,0
2010,75642,0,0
2010,75643,827,40844
2010,75644,4817,203274
2010,75645,3670,169701
2010,75647,5362,247418
2010,75650,3850,203849
2010,75651,878,39158
2010,75652,5101,234192
2010,75653,0,0
2010,75654,4706,214271
2010,75656,1956,76532
2010,75657,3416,131435
2010,75658,0,0
2010,75659,0,0
2010,75660,0,0
2010,75661,1084,43924
2010,75662,9825,447257
2010,75663,0,0
2010,75666,0,0
2010,75667,465,20019
2010,75668,811,29404
2010,75669,225,12076
2010,75670,6841,219612
2010,75671,0,0
2010,75672,6842,387428
2010,75680,0,0
2010,75681,1080,44176
2010,75682,0,0
2010,75683,1541,58973
2010,75684,2305,96048
2010,75685,0,0
2010,75686,5194,219499
2010,75687,0,0
2010,75688,0,0
2010,75689,0,0
2010,75691,1813,89050
2010,75692,2258,108408
2010,75693,2877,149511
2010,75694,0,0
2010,75701,13734,709953
2010,75702,10130,277506
2010,75703,17242,1324297
2010,75704,3392,123209
2010,75705,915,28881
2010,75706,3464,115017
2010,75707,6118,406959
2010,75708,2765,85436
2010,75709,2388,123227
2010,75710,0,0
2010,75711,0,0
2010,75712,0,0
2010,75713,0,0
2010,75750,1543,85865
2010,75751,6731,288455
2010,75752,2524,125373
2010,75754,2405,103404
2010,75755,2082,85027
2010,75756,1548,74187
2010,75757,4301,325164
2010,75758,4003,186093
2010,75759,0,0
2010,75760,1009,39236
2010,75762,5439,359583
2010,75763,2374,112630
2010,75764,0,0
2010,75765,3040,144487
2010,75766,10410,398042
2010,75770,1021,46016
2010,75771,8078,442178
2010,75772,0,0
2010,75773,4900,203934
2010,75778,1278,50161
2010,75779,0,0
2010,75780,0,0
2010,75782,0,0
2010,75783,2993,135322
2010,75784,292,10462
2010,75785,3627,159337
2010,75788,0,0
2010,75789,3076,149241
2010,75790,1909,86954
2010,75791,5640,343384
2010,75792,1391,56242
2010,75799,0,0
2010,75801,6776,267114
2010,75802,0,0
2010,75803,5829,247114
2010,75831,2081,113536
2010,75832,0,0
2010,75833,1390,65173
2010,75835,4614,170495
2010,75838,277,17047
2010,75839,2072,86960
2010,75840,3197,180319
2010,75844,2042,93806
2010,75845,1059,41671
2010,75846,1040,49488
2010,75847,589,21527
2010,75848,0,0
2010,75849,0,0
2010,75850,221,11768
2010,75851,957,41762
2010,75852,680,30027
2010,75853,408,19111
2010,75855,997,38271
2010,75856,108,4140
2010,75858,0,0
2010,75859,769,47135
2010,75860,2294,106776
2010,75861,768,30404
2010,75862,3885,141053
2010,75865,0,0
2010,75880,0,0
2010,75884,0,0
2010,75886,0,0
2010,75901,11254,492065
2010,75902,0,0
2010,75903,0,0
2010,75904,13423,604873
2010,75915,0,0
2010,75925,1461,62947
2010,75926,433,17242
2010,75928,496,16589
2010,75929,598,23340
2010,75930,634,24774
2010,75931,839,41344
2010,75932,566,26132
2010,75933,583,22682
2010,75934,0,0
2010,75935,5650,249318
2010,75936,356,16194
2010,75937,478,20334
2010,75938,987,41765
2010,75939,1551,56673
2010,75941,3163,141168
2010,75942,0,0
2010,75943,547,24079
2010,75944,520,23309
2010,75946,1344,52544
2010,75948,2422,112126
2010,75949,3132,133616
2010,75951,6846,281682
2010,75954,1342,63191
2010,75956,2937,123755
2010,75958,0,0
2010,75959,412,21888
2010,75960,368,13154
2010,75961,5654,215547
2010,75962,0,0
2010,75963,0,0
2010,75964,7130,259463
2010,75965,6615,389836
2010,75966,1696,64206
2010,75968,714,31076
2010,75969,1539,66045
2010,75972,2666,111433
2010,75973,1058,49991
2010,75974,1213,51553
2010,75975,1405,55318
2010,75976,0,0
2010,75977,243,8160
2010,75978,0,0
2010,75979,3189,139394
2010,75980,1010,39713
2010,76001,13309,798725
2010,76002,12958,670749
2010,76003,0,0
2010,76004,0,0
2010,76005,0,0
2010,76006,12148,639497
2010,76007,0,0
2010,76008,6037,690870
2010,76009,8050,351377
2010,76010,20210,523009
2010,76011,9588,348425
2010,76012,12311,803656
2010,76013,14049,747859
2010,76014,14537,453626
2010,76015,8021,375604
2010,76016,14579,1113057
2010,76017,21090,1264440
2010,76018,12129,522279
2010,76019,0,0
2010,76020,11254,640586
2010,76021,17348,1052207
2010,76022,6888,353026
2010,76023,2537,116840
2010,76028,25864,1586160
2010,76031,6557,291368
2010,76033,10830,546335
2010,76034,10800,1986157
2010,76035,742,61547
2010,76036,9937,528860
2010,76039,17126,861370
2010,76040,12703,536618
2010,76041,177,8090
2010,76043,2869,157015
2010,76044,1674,89884
2010,76048,9550,499102
2010,76049,11320,911412
2010,76050,2553,142195
2010,76051,22003,1653494
2010,76052,6467,501079
2010,76053,13330,560310
2010,76054,6004,455230
2010,76055,1124,44587
2010,76058,7142,330160
2010,76059,1909,70642
2010,76060,3153,206535
2010,76061,320,15990
2010,76063,26468,1946099
2010,76064,814,47166
2010,76065,13126,862535
2010,76066,1331,75685
2010,76067,7696,300124
2010,76068,0,0
2010,76070,199,14172
2010,76071,1481,76243
2010,76073,2240,123860
2010,76077,238,11644
2010,76078,3481,192480
2010,76082,7452,351289
2010,76084,2997,131753
2010,76085,4144,233563
2010,76086,8872,407075
2010,76087,10849,818087
2010,76088,4756,293366
2010,76092,11376,2649076
2010,76093,966,52346
2010,76094,0,0
2010,76095,0,0
2010,76096,0,0
2010,76097,0,0
2010,76098,0,0
2010,76099,0,0
2010,76101,0,0
2010,76102,3805,1160692
2010,76103,6588,219969
2010,76104,6307,184575
2010,76105,8514,185567
2010,76106,13028,340349
2010,76107,13019,1863295
2010,76108,17096,912319
2010,76109,9436,1220589
2010,76110,12469,524452
2010,76111,8856,272490
2010,76112,17049,631931
2010,76113,0,0
2010,76114,10512,413126
2010,76115,8098,206849
2010,76116,20594,1210559
2010,76117,13163,437926
2010,76118,6397,308700
2010,76119,16421,431959
2010,76120,7252,318630
2010,76121,0,0
2010,76122,0,0
2010,76123,12425,685291
2010,76124,0,0
2010,76126,9763,974774
2010,76127,231,9700
2010,76129,0,0
2010,76131,12209,635477
2010,76132,11966,1062211
2010,76133,21916,947466
2010,76134,10503,387850
2010,76135,8459,419566
2010,76136,0,0
2010,76137,24831,1295925
2010,76140,11060,426583
2010,76147,0,0
2010,76148,10943,483465
2010,76155,2203,160892
2010,76161,0,0
2010,76162,0,0
2010,76163,0,0
2010,76164,6717,181376
2010,76177,3119,198755
2010,76179,21080,1307785
2010,76180,16010,788885
2010,76181,0,0
2010,76182,13049,916628
2010,76185,0,0
2010,76201,8384,260487
2010,76202,0,0
2010,76203,0,0
2010,76204,0,0
2010,76205,7429,357619
2010,76206,0,0
2010,76207,5090,284049
2010,76208,8278,486195
2010,76209,10797,414936
2010,76210,16381,1090713
2010,76225,1305,70355
2010,76226,7712,982903
2010,76227,9527,574293
2010,76228,417,19800
2010,76230,4068,199649
2010,76233,1345,62340
2010,76234,6739,416846
2010,76238,227,14604
2010,76239,445,27273
2010,76240,10345,499804
2010,76241,0,0
2010,76244,24618,1700170
2010,76245,728,34177
2010,76246,0,0
2010,76247,5506,325228
2010,76248,15529,1623773
2010,76249,3407,195461
2010,76250,559,35368
2010,76251,332,19202
2010,76252,1344,103121
2010,76253,0,0
2010,76255,2145,101971
2010,76258,2771,170565
2010,76259,1915,111087
2010,76261,111,4318
2010,76262,12821,1421741
2010,76263,0,0
2010,76264,610,27336
2010,76265,756,40210
2010,76266,5887,305939
2010,76267,0,0
2010,76268,0,0
2010,76270,808,45204
2010,76271,618,31147
2010,76272,1947,103656
2010,76273,3843,181755
2010,76301,6665,314506
2010,76302,5017,234881
2010,76305,2230,104126
2010,76306,6374,214725
2010,76307,0,0
2010,76308,9173,625920
2010,76309,5810,286336
2010,76310,7918,443445
2010,76311,1111,36417
2010,76351,853,41498
2010,76352,0,0
2010,76354,5004,230074
2010,76357,289,13666
2010,76360,1347,57710
2010,76363,120,3525
2010,76364,0,0
2010,76365,2075,92899
2010,76366,948,49818
2010,76367,4318,204974
2010,76369,0,0
2010,76370,0,0
2010,76371,664,25352
2010,76372,353,14489
2010,76373,0,0
2010,76374,1666,74914
2010,76377,330,15106
2010,76379,206,11742
2010,76380,1490,60645
2010,76384,5034,202931
2010,76385,0,0
2010,76388,97,3208
2010,76389,577,30519
2010,76401,9724,442561
2010,76402,0,0
2010,76424,3394,155941
2010,76426,4441,223383
2010,76427,306,13739
2010,76429,0,0
2010,76430,1090,77747
2010,76431,1372,65890
2010,76432,538,24629
2010,76433,551,35408
2010,76435,246,10115
2010,76436,117,4239
2010,76437,2135,214234
2010,76439,0,0
2010,76442,2964,115470
2010,76443,744,31263
2010,76444,1446,57044
2010,76445,177,6004
2010,76446,3069,110650
2010,76448,2310,134868
2010,76449,909,54318
2010,76450,5680,313032
2010,76452,0,0
2010,76453,493,27961
2010,76454,656,25301
2010,76455,365,14756
2010,76457,1480,65768
2010,76458,2145,113821
2010,76459,0,0
2010,76460,183,7448
2010,76461,0,0
2010,76462,1116,69324
2010,76463,195,8945
2010,76464,205,7682
2010,76465,0,0
2010,76466,0,0
2010,76467,0,0
2010,76468,0,0
2010,76469,0,0
2010,76470,1149,40054
2010,76471,621,36117
2010,76472,620,30591
2010,76474,136,6590
2010,76475,368,27960
2010,76476,1056,54684
2010,76481,0,0
2010,76483,477,48927
2010,76484,405,21065
2010,76485,0,0
2010,76486,501,24034
2010,76487,962,46355
2010,76490,0,0
2010,76491,186,7141
2010,76501,7140,264067
2010,76502,14362,876530
2010,76503,0,0
2010,76504,9778,327426
2010,76505,0,0
2010,76511,875,33509
2010,76513,14572,797903
2010,76518,511,18317
2010,76519,250,10613
2010,76520,3322,124942
2010,76522,15300,625823
2010,76523,0,0
2010,76524,1247,56397
2010,76525,401,15549
2010,76526,0,0
2010,76527,1747,86155
2010,76528,6619,298084
2010,76530,1060,45174
2010,76531,2080,108432
2010,76533,0,0
2010,76534,1061,51484
2010,76537,1903,86075
2010,76538,316,16258
2010,76539,3554,180699
2010,76540,0,0
2010,76541,7835,205542
2010,76542,16911,730146
2010,76543,12527,428855
2010,76544,10273,280636
2010,76545,0,0
2010,76547,0,0
2010,76548,11262,583653
2010,76549,17805,659279
2010,76550,5147,244050
2010,76554,970,42712
2010,76556,617,26901
2010,76557,2065,87845
2010,76558,0,0
2010,76559,1891,89677
2010,76561,450,18806
2010,76564,0,0
2010,76565,0,0
2010,76566,108,3899
2010,76567,3629,152674
2010,76569,1110,45925
2010,76570,1040,40299
2010,76571,3183,231609
2010,76573,0,0
2010,76574,7596,326018
2010,76577,1256,57286
2010,76578,701,33297
2010,76579,1934,88576
2010,76597,0,0
2010,76621,556,26102
2010,76622,433,16844
2010,76623,0,0
2010,76624,1011,44038
2010,76626,634,28276
2010,76627,667,28256
2010,76628,0,0
2010,76629,812,34622
2010,76630,729,40654
2010,76631,206,9177
2010,76632,634,22953
2010,76633,2251,150219
2010,76634,2880,134125
2010,76635,530,17000
2010,76636,652,31026
2010,76637,221,10249
2010,76638,1205,92252
2010,76639,576,21891
2010,76640,1340,50845
2010,76641,637,26618
2010,76642,2497,111536
2010,76643,6417,334964
2010,76644,0,0
2010,76645,4511,169963
2010,76648,1013,40350
2010,76649,320,15070
2010,76650,0,0
2010,76651,1206,54423
2010,76652,431,18161
2010,76653,430,21049
2010,76654,0,0
2010,76655,3598,209631
2010,76656,957,43380
2010,76657,3987,271492
2010,76660,210,7147
2010,76661,2701,87462
2010,76664,1316,50738
2010,76665,1030,42675
2010,76666,125,5802
2010,76667,4811,178419
2010,76670,525,21739
2010,76671,621,27601
2010,76673,437,19155
2010,76676,147,5623
2010,76678,0,0
2010,76679,558,22028
2010,76680,0,0
2010,76681,204,7150
2010,76682,1184,50427
2010,76684,0,0
2010,76685,0,0
2010,76686,0,0
2010,76687,564,29046
2010,76689,1591,76070
2010,76690,466,17770
2010,76691,2851,132176
2010,76692,4097,186546
2010,76693,700,28135
2010,76701,598,22444
2010,76702,0,0
2010,76703,0,0
2010,76704,2823,59306
2010,76705,11412,376971
2010,76706,11457,403104
2010,76707,6126,148527
2010,76708,10252,412491
2010,76710,10948,574029
2010,76711,3757,99961
2010,76712,10438,732984
2010,76714,0,0
2010,76715,0,0
2010,76716,0,0
2010,76798,0,0
2010,76801,9517,389875
2010,76802,2016,125206
2010,76803,0,0
2010,76804,0,0
2010,76820,0,0
2010,76821,2026,81069
2010,76823,1229,46431
2010,76824,0,0
2010,76825,2887,109420
2010,76827,170,9631
2010,76828,0,0
2010,76831,0,0
2010,76832,249,13805
2010,76834,2392,91301
2010,76836,0,0
2010,76837,555,20528
2010,76841,0,0
2010,76842,0,0
2010,76844,1427,69331
2010,76845,0,0
2010,76848,0,0
2010,76849,1666,72154
2010,76852,97,4887
2010,76853,608,24023
2010,76854,152,7506
2010,76855,0,0
2010,76856,1552,74127
2010,76857,675,27689
2010,76858,103,4331
2010,76859,800,30666
2010,76861,846,38920
2010,76862,0,0
2010,76864,274,11564
2010,76865,0,0
2010,76866,237,9922
2010,76869,0,0
2010,76870,96,3309
2010,76871,307,11439
2010,76872,271,17147
2010,76873,0,0
2010,76874,0,0
2010,76875,287,11540
2010,76877,1668,62760
2010,76878,650,24570
2010,76880,0,0
2010,76882,109,5211
2010,76884,0,0
2010,76885,0,0
2010,76886,0,0
2010,76887,0,0
2010,76888,0,0
2010,76890,354,14670
2010,76901,12549,539608
2010,76902,0,0
2010,76903,13508,420937
2010,76904,14183,874375
2010,76905,4782,193162
2010,76906,0,0
2010,76908,0,0
2010,76909,0,0
2010,76930,0,0
2010,76932,1381,74726
2010,76933,536,24209
2010,76934,420,15589
2010,76935,646,43543
2010,76936,1179,56636
2010,76937,115,4232
2010,76939,0,0
2010,76940,0,0
2010,76941,619,35678
2010,76943,1589,80358
2010,76945,732,31844
2010,76950,1829,114522
2010,76951,508,33405
2010,76953,0,0
2010,76955,0,0
2010,76957,157,13264
2010,76958,0,0
2010,77001,0,0
2010,77002,3952,1996053
2010,77003,4611,198066
2010,77004,13063,711304
2010,77005,10996,3532448
2010,77006,11724,1186672
2010,77007,17832,2247560
2010,77008,16251,1427003
2010,77009,16726,800107
2010,77010,422,176268
2010,77011,6923,183301
2010,77012,7153,184139
2010,77013,6191,189155
2010,77014,11536,432431
2010,77015,21060,761217
2010,77016,12500,313333
2010,77017,12293,449998
2010,77018,12401,851838
2010,77019,11804,3271127
2010,77020,10138,300207
2010,77021,11422,377878
2010,77022,11854,295743
2010,77023,11351,370085
2010,77024,17057,6211569
2010,77025,12141,1182379
2010,77026,9724,222470
2010,77027,9173,1587908
2010,77028,7417,197859
2010,77029,7350,225924
2010,77030,5061,610461
2010,77031,6511,263649
2010,77032,4569,127805
2010,77033,12973,304169
2010,77034,13356,450307
2010,77035,14507,613557
2010,77036,24610,695347
2010,77037,7179,192312
2010,77038,10018,291779
2010,77039,10217,292560
2010,77040,21043,1251263
2010,77041,15936,1248595
2010,77042,19109,1228697
2010,77043,10521,557145
2010,77044,12943,782406
2010,77045,13365,384377
2010,77046,963,186593
2010,77047,10933,400013
2010,77048,6944,202422
2010,77049,11701,484892
2010,77050,1865,54465
2010,77051,6777,150388
2010,77052,0,0
2010,77053,12687,371545
2010,77054,10082,431620
2010,77055,16855,1228189
2010,77056,10808,3157676
2010,77057,19469,2055352
2010,77058,8243,551374
2010,77059,7567,1001789
2010,77060,14123,375284
2010,77061,9322,304976
2010,77062,11646,983046
2010,77063,16785,1036379
2010,77064,20420,1089487
2010,77065,16262,855439
2010,77066,14007,631732
2010,77067,12062,362131
2010,77068,4987,362664
2010,77069,8680,888288
2010,77070,21596,1378151
2010,77071,11882,501870
2010,77072,24239,664475
2010,77073,14475,532155
2010,77074,14213,457674
2010,77075,14295,504571
2010,77076,11988,325827
2010,77077,26661,2220528
2010,77078,5917,151495
2010,77079,15668,1978675
2010,77080,17198,642294
2010,77081,15599,506898
2010,77082,23900,1329473
2010,77083,30284,1107007
2010,77084,41725,2039188
2010,77085,6808,217496
2010,77086,10901,334433
2010,77087,14416,417731
2010,77088,22190,711709
2010,77089,21499,1006597
2010,77090,14861,536888
2010,77091,9847,284680
2010,77092,14071,526534
2010,77093,17318,431047
2010,77094,4497,736551
2010,77095,29745,2182656
2010,77096,15322,1149647
2010,77098,8068,1110254
2010,77099,19239,582750
2010,77204,0,0
2010,77205,0,0
2010,77206,0,0
2010,77207,0,0
2010,77208,0,0
2010,77210,0,0
2010,77213,0,0
2010,77215,0,0
2010,77217,0,0
2010,77218,0,0
2010,77219,0,0
2010,77220,0,0
2010,77221,0,0
2010,77222,0,0
2010,77223,0,0
2010,77224,0,0
2010,77225,0,0
2010,77226,0,0
2010,77227,0,0
2010,77228,0,0
2010,77229,0,0
2010,77230,0,0
2010,77231,0,0
2010,77233,0,0
2010,77234,0,0
2010,77235,0,0
2010,77236,0,0
2010,77237,0,0
2010,77238,0,0
2010,77240,0,0
2010,77241,0,0
2010,77242,0,0
2010,77243,0,0
2010,77244,0,0
2010,77245,0,0
2010,77248,0,0
2010,77249,0,0
2010,77251,0,0
2010,77252,0,0
2010,77253,0,0
2010,77254,0,0
2010,77255,0,0
2010,77256,0,0
2010,77257,0,0
2010,77258,0,0
2010,77259,0,0
2010,77261,0,0
2010,77262,0,0
2010,77263,0,0
2010,77265,0,0
2010,77266,0,0
2010,77267,0,0
2010,77268,0,0
2010,77269,0,0
2010,77270,0,0
2010,77271,0,0
2010,77272,0,0
2010,77273,0,0
2010,77274,0,0
2010,77275,0,0
2010,77277,0,0
2010,77279,0,0
2010,77280,0,0
2010,77282,0,0
2010,77284,0,0
2010,77287,0,0
2010,77288,0,0
2010,77289,0,0
2010,77290,0,0
2010,77291,0,0
2010,77292,0,0
2010,77293,0,0
2010,77301,10548,329898
2010,77302,7141,407193
2010,77303,6623,284158
2010,77304,10104,716494
2010,77305,0,0
2010,77306,4116,144643
2010,77316,6493,502223
2010,77318,6086,388090
2010,77320,8598,339966
2010,77325,0,0
2010,77326,0,0
2010,77327,6863,279224
2010,77328,6142,263965
2010,77331,2604,133712
2010,77332,0,0
2010,77333,0,0
2010,77334,0,0
2010,77335,874,30339
2010,77336,5303,356027
2010,77338,14648,566177
2010,77339,17291,1367047
2010,77340,9371,411146
2010,77341,0,0
2010,77342,0,0
2010,77343,0,0
2010,77345,11704,1542573
2010,77346,23212,1825594
2010,77347,0,0
2010,77348,0,0
2010,77349,0,0
2010,77350,0,0
2010,77351,10721,454341
2010,77353,0,0
2010,77354,12446,975693
2010,77355,9788,769023
2010,77356,11697,1247341
2010,77357,8121,364977
2010,77358,2192,101764
2010,77359,314,12141
2010,77360,2204,86259
2010,77362,2091,126226
2010,77363,1270,55876
2010,77364,1002,42090
2010,77365,11093,602447
2010,77367,0,0
2010,77368,0,0
2010,77369,0,0
2010,77371,2739,102061
2010,77372,4577,182824
2010,77373,24312,1210123
2010,77374,0,0
2010,77375,16761,1011604
2010,77376,0,0
2010,77377,13222,1173061
2010,77378,6167,245856
2010,77379,31364,3249797
2010,77380,11287,1231909
2010,77381,15775,2582378
2010,77382,13770,2661768
2010,77383,0,0
2010,77384,6107,535066
2010,77385,8307,543573
2010,77386,17216,1337399
2010,77387,0,0
2010,77388,18380,1266539
2010,77389,9792,969727
2010,77391,0,0
2010,77393,0,0
2010,77396,17202,907919
2010,77399,0,0
2010,77401,7788,1976099
2010,77402,0,0
2010,77404,0,0
2010,77406,14632,1424593
2010,77407,12776,813282
2010,77410,0,0
2010,77411,0,0
2010,77412,0,0
2010,77413,0,0
2010,77414,8563,394976
2010,77415,0,0
2010,77417,792,30589
2010,77418,4194,336392
2010,77419,0,0
2010,77420,999,62588
2010,77422,5483,285952
2010,77423,3582,151501
2010,77426,926,63426
2010,77428,0,0
2010,77429,30882,3088210
2010,77430,951,59086
2010,77431,0,0
